dst,dst_burton,dst_corrector,dst_final,err_burton,err_corrector,err_final,anomaly_score,recon_error,alert_level,w_burton,w_corrector,blend_certainty,storm_phase
-33.0,-3.551650047302246,-25.527161598205566,-13.98859691619873,29.448349952697754,7.472838401794434,19.01140308380127,0.0,0.03445036709308624,GREEN,0.5250646471977234,0.4749353229999542,0.050129324197769165,3
-33.0,-3.5439624786376953,-25.208730697631836,-13.819745063781738,29.456037521362305,7.791269302368164,19.18025493621826,0.0,0.0342818908393383,GREEN,0.525691568851471,0.47430843114852905,0.051383137702941895,3
-33.0,-3.5362915992736816,-24.92766046524048,-13.746968269348145,29.46370840072632,8.072339534759521,19.253031730651855,0.0,0.034188564866781235,GREEN,0.5226731300354004,0.4773269295692444,0.045346200466156006,3
-33.0,-3.528637170791626,-24.88191246986389,-13.705355644226074,29.471362829208374,8.118087530136108,19.294644355773926,0.0,0.03414691239595413,GREEN,0.5234118103981018,0.4765881597995758,0.046823650598526,3
-33.0,-3.5209994316101074,-24.7268328666687,-13.657862663269043,29.479000568389893,8.273167133331299,19.342137336730957,0.0,0.03401472792029381,GREEN,0.5219776630401611,0.47802236676216125,0.04395529627799988,3
-33.0,-3.513378143310547,-25.865766525268555,-14.165593147277832,29.486621856689453,7.134233474731445,18.834406852722168,0.0,0.033825915306806564,GREEN,0.523441731929779,0.47655826807022095,0.046883463859558105,3
-33.0,-3.5057735443115234,-25.921979904174805,-14.141276359558105,29.494226455688477,7.078020095825195,18.858723640441895,0.0,0.03361799940466881,GREEN,0.5255440473556519,0.47445595264434814,0.05108809471130371,3
-33.0,-3.498185396194458,-25.75829815864563,-14.108809471130371,29.501814603805542,7.24170184135437,18.89119052886963,0.0,0.0334174670279026,GREEN,0.5233347415924072,0.47666531801223755,0.04666942358016968,3
-33.0,-3.4906134605407715,-25.19942617416382,-13.914898872375488,29.50938653945923,7.800573825836182,19.08510112762451,0.0,0.033354539424180984,GREEN,0.5198132395744324,0.48018679022789,0.03962644934654236,3
-33.0,-3.483057975769043,-26.065619468688965,-14.295675277709961,29.516942024230957,6.934380531311035,18.70432472229004,0.0,0.03328806534409523,GREEN,0.521196186542511,0.4788038432598114,0.042392343282699585,3
-33.0,-3.4755189418792725,-25.653741598129272,-14.111379623413086,29.524481058120728,7.3462584018707275,18.888620376586914,0.0,0.03331417217850685,GREEN,0.5204367637634277,0.47956326603889465,0.04087349772453308,3
-33.0,-3.467996120452881,-25.9482684135437,-14.280426025390625,29.53200387954712,7.051731586456299,18.719573974609375,0.0,0.03334885090589523,GREEN,0.5190259218215942,0.48097410798072815,0.03805181384086609,3
-33.0,-3.4604897499084473,-25.730631351470947,-14.234421730041504,29.539510250091553,7.269368648529053,18.765578269958496,0.0,0.033444344997406006,GREEN,0.5162163376808167,0.4837837219238281,0.032432615756988525,3
-33.0,-3.4529995918273926,-26.434393405914307,-14.55500602722168,29.547000408172607,6.565606594085693,18.44499397277832,0.0,0.033364828675985336,GREEN,0.5169132351875305,0.4830867648124695,0.033826470375061035,3
-33.0,-3.445525646209717,-26.420819759368896,-14.525664329528809,29.554474353790283,6.5791802406311035,18.47433567047119,0.0,0.03326768800616264,GREEN,0.5177367925643921,0.4822631776332855,0.03547361493110657,3
-33.0,-3.43806791305542,-26.447356700897217,-14.507146835327148,29.56193208694458,6.552643299102783,18.49285316467285,0.0,0.03321463614702225,GREEN,0.5189299583435059,0.48107001185417175,0.037859946489334106,3
-33.0,-3.430626153945923,-26.635534524917603,-14.595287322998047,29.569373846054077,6.3644654750823975,18.404712677001953,0.0,0.033218808472156525,GREEN,0.5188664197921753,0.4811336100101471,0.0377328097820282,3
-33.0,-3.4232006072998047,-26.767240524291992,-14.680938720703125,29.576799392700195,6.232759475708008,18.319061279296875,0.0,0.03326128423213959,GREEN,0.5177468657493591,0.48225319385528564,0.035493671894073486,3
-33.0,-3.4157910346984863,-27.062368869781494,-14.812911987304688,29.584208965301514,5.937631130218506,18.187088012695312,0.0,0.03332222253084183,GREEN,0.5180224776268005,0.48197758197784424,0.0360448956489563,3
-33.0,-3.4083974361419678,-26.79476523399353,-14.688715934753418,29.591602563858032,6.20523476600647,18.311284065246582,0.0,0.033392056822776794,GREEN,0.5176541209220886,0.4823458790779114,0.035308241844177246,3
-33.0,-3.401020050048828,-26.83662986755371,-14.744321823120117,29.598979949951172,6.163370132446289,18.255678176879883,0.0,0.03343422710895538,GREEN,0.515980064868927,0.4840199053287506,0.03196015954017639,3
-33.0,-3.3936586380004883,-27.02567958831787,-14.832581520080566,29.60634136199951,5.974320411682129,18.167418479919434,0.0,0.03346003219485283,GREEN,0.5159566402435303,0.4840433597564697,0.03191328048706055,3
-33.0,-3.386312961578369,-26.874088764190674,-14.799882888793945,29.61368703842163,6.125911235809326,18.200117111206055,0.0,0.03350830078125,GREEN,0.5140633583068848,0.48593664169311523,0.02812671661376953,3
